speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,73.25,74.25,0.9820724129676819,0.9610130786895752,ems
speech,74.25,75.25,1.0,1.0,remember when i
speech,75.25,76.25,1.0,0.9999966621398926,the little
speech,76.25,77.25,1.0,1.0,lots of times the other
speech,77.25,78.25,1.0,1.0,we're adults didn't
speech,78.25,79.25,1.0,1.0,play with us
speech,79.25,80.25,0.9735590219497681,0.9594717621803284,the ads and
speech,80.25,81.25,0.9999996423721313,0.9999923706054688,they would want to play
speech,81.25,82.25,1.0,1.0,the games that the adult
speech,82.25,83.25,1.0,0.9999994039535522,table button
speech,83.25,84.25,1.0,1.0,my grandma
speech,84.25,85.25,0.9999998807907104,0.999997079372406,could always be
speech,85.25,86.25,1.0,0.9999997019767761,counted on
speech,86.25,87.25,0.9854857921600342,0.9732763171195984,two
speech,87.25,88.25,1.0,0.9999997019767761,in with the kids
speech,88.25,89.25,1.0,0.9999991059303284,play a game sheet
speech,89.25,90.25,0.9442535638809204,0.931210994720459,hot me
speech,90.25,91.25,1.0,1.0,play a lot of games
speech,91.25,92.25,0.9999998807907104,0.9999943375587463,pea knuckle
speech,92.25,93.25,1.0,1.0,my parents weren't
speech,93.25,94.25,0.9999978542327881,0.9998801946640015,patient and after to
speech,94.25,95.25,1.0,1.0,sweet pea knuckle bitch
speech,95.25,96.25,1.0,1.0,the did she was willing
speech,96.25,97.25,0.9999980926513672,0.9998560547828674,to teach me that game
speech,97.25,98.25,1.0,1.0,she also lived
speech,98.25,99.25,1.0,1.0,quilting
speech,99.25,100.25,0.9999967813491821,0.9999675750732422,often there would be
speech,100.25,101.25,1.0,1.0,quilt set up in
speech,101.25,102.25,1.0,1.0,the living room that she
speech,102.25,103.25,1.0,1.0,the working on with
speech,103.25,104.25,0.9999114274978638,0.9993376135826111,a thimble
speech,104.25,105.25,1.0,1.0,her finger
speech,105.25,106.25,0.9959635734558105,0.9784529209136963,she does
speech,106.25,107.25,1.0,0.9999935626983643,was the most
speech,107.25,108.25,0.9999986886978149,0.9999818205833435,kind soul
speech,108.25,109.25,1.0,1.0,she was very far
speech,109.25,110.25,0.9924874305725098,0.9747356176376343,fall oh
speech,110.25,111.25,1.0,1.0,is remembering
speech,111.25,112.25,1.0,1.0,present on your
speech,112.25,113.25,1.0,1.0,birthday
speech,113.25,114.25,0.9999997615814209,0.9999960064888,that christmas
speech,114.25,115.25,1.0,1.0,she loved throwing
speech,115.25,116.25,1.0,1.0,hardy's
speech,116.25,117.25,0.9773949980735779,0.9500969052314758,and making sure that
speech,117.25,118.25,1.0,1.0,people realize
speech,118.25,119.25,1.0,0.9999969601631165,she loved them
speech,119.25,120.25,0.9999996423721313,0.9999638199806213,the thing and a nice
speech,120.25,121.25,1.0,1.0,the things she would do for them
speech,121.25,122.25,1.0,1.0,okay that's
speech,122.25,123.25,0.9714946746826172,0.9555383920669556,few minutes
